datetime,username,tweet,url,score
"October 19, 2017 at 04:32PM",@nanophate,"この数日は百合とレズについて、議論している…

言葉の由来って結構深い",http://twitter.com/nanophate/status/921051548662210560,0.4637842774
"October 20, 2017 at 05:05AM",@nanophate,動かないようにしよう…痛みが…,http://twitter.com/nanophate/status/921240983555018752,0.3986979723
"October 20, 2017 at 05:17AM",@nanophate,"気圧のせいなのか？
次は圧力を感じる😭😓",http://twitter.com/nanophate/status/921243843780947969,0.1060245633
"October 20, 2017 at 06:26AM",@nanophate,台風来てるんだ・・・飛行機飛びかしんぱいになって来た💦,http://twitter.com/nanophate/status/921261356971634688,0.4165531993
"October 20, 2017 at 06:30AM",@nanophate,https://t.co/tiSZfjpeVj なんかみたところ22日の方が大変そうだから、大丈夫かなww,http://twitter.com/nanophate/status/921262281572286464,0.4016948044
"October 20, 2017 at 06:47AM",@nanophate,"@tomoko05238 ありがとうございます！
気をつけます！",http://twitter.com/nanophate/status/921266549117218816,0.512178123
"October 20, 2017 at 07:42AM",@nanophate,"#初めての車検
おっ、安い！っと思たら〜
バッテリー、ワイパー、エアコンっと言われたwww
エアコン、辛い",http://twitter.com/nanophate/status/921280391608020992,0.4578179717
"October 20, 2017 at 07:44AM",@nanophate,"電話がまたかかって来て、エアコンのフィルターとのことでした💦
本当にびっくりした😭 めちゃ安くなったな〜",http://twitter.com/nanophate/status/921280895218204672,0
"October 20, 2017 at 09:00PM",@nanophate,"早いやばい…(о´∀`о)
長い一日だゾォー😊",http://twitter.com/nanophate/status/921481373361127424,0.671615839
"October 20, 2017 at 10:24PM",@nanophate,"空港に着いた✈️
別の便の欠航のアナウンスが流れてたー",http://twitter.com/nanophate/status/921502381757546496,0.5
"October 21, 2017 at 01:13AM",@nanophate,"東京着いた〜
寒い😨",http://twitter.com/nanophate/status/921544823676346368,0.06840890646
"October 21, 2017 at 01:15AM",@nanophate,"#初めての車検

ウオォー
毒キノコはオッケーでナンバー曲げは🆖
🍄は無限シリーズだから通ったのかな🤔",http://twitter.com/nanophate/status/921545566395367425,0.6666640639
"October 21, 2017 at 01:26AM",@nanophate,"モノレール空いている✨
次回からモノレールに乗ろうっとw
驚きを隠しきれない🤭",http://twitter.com/nanophate/status/921548333772021760,0.415392518
"October 21, 2017 at 01:52AM",@nanophate,@yasulab ありがとうございます🙏,http://twitter.com/nanophate/status/921554825719853056,0.8143934608
"October 21, 2017 at 02:03AM",@nanophate,"つ、ついにワードプレス力を付ける必要性が出来た🤭

自分でも驚きである…
もう少しもがく予定だったけど、使いやすさとなれるまでのコストを考えると…",http://twitter.com/nanophate/status/921557624755183616,0.5514991879
"October 21, 2017 at 05:39AM",@nanophate,@yasulab 早稲田駅から高田馬場まで徒歩だと20分ぐらいかかるのね〜,http://twitter.com/nanophate/status/921611850873049089,0.4393182099
"October 21, 2017 at 08:26AM",@nanophate,"移動が最近多いのだけど、だんだんコツを掴んでるw

自分はちゃんと移動の前にご飯を食べることで何とかなる",http://twitter.com/nanophate/status/921653984888111104,0.4901030064
"October 21, 2017 at 09:12AM",@nanophate,人が把握している情報と実際にあって話して得る情報の差に驚いている,http://twitter.com/nanophate/status/921665563083997184,0.5761085749
"October 21, 2017 at 11:41AM",@nanophate,同じような人ではなく、そこで一緒に開拓出来る人である,http://twitter.com/nanophate/status/921703089207263233,0.4899616838
"October 21, 2017 at 12:00PM",@nanophate,"傷の舐め合い
でも、刺激はないよね、安心安全楽は",http://twitter.com/nanophate/status/921707673531199488,0.4525324404
